Id,SentTime,ReceivedTime,LatencyMs
1617,2025-08-07T11:54:39.1742605Z,2025-08-07T11:54:39.1742605Z,0.0000
1618,2025-08-07T11:54:39.1752856Z,2025-08-07T11:54:39.1752856Z,0.0000
1619,2025-08-07T11:54:39.1752856Z,2025-08-07T11:54:39.1752856Z,0.0000
1620,2025-08-07T11:54:39.1762974Z,2025-08-07T11:54:39.1762974Z,0.0000
1621,2025-08-07T11:54:39.1762974Z,2025-08-07T11:54:39.1762974Z,0.0000
1622,2025-08-07T11:54:39.1773029Z,2025-08-07T11:54:39.1773029Z,0.0000
1623,2025-08-07T11:54:39.1773029Z,2025-08-07T11:54:39.1773029Z,0.0000
1624,2025-08-07T11:54:39.1783075Z,2025-08-07T11:54:39.1783075Z,0.0000
1625,2025-08-07T11:54:39.1783075Z,2025-08-07T11:54:39.1783075Z,0.0000
1626,2025-08-07T11:54:39.1783075Z,2025-08-07T11:54:39.1794745Z,1.1670
1627,2025-08-07T11:54:39.1794745Z,2025-08-07T11:54:39.1794745Z,0.0000
1628,2025-08-07T11:54:39.1804796Z,2025-08-07T11:54:39.1804796Z,0.0000
1629,2025-08-07T11:54:39.1804796Z,2025-08-07T11:54:39.1804796Z,0.0000
1630,2025-08-07T11:54:39.1804796Z,2025-08-07T11:54:39.1814915Z,1.0119
1631,2025-08-07T11:54:39.1814915Z,2025-08-07T11:54:39.1814915Z,0.0000
1632,2025-08-07T11:54:39.1824975Z,2025-08-07T11:54:39.1824975Z,0.0000
1633,2025-08-07T11:54:39.1824975Z,2025-08-07T11:54:39.1824975Z,0.0000
1634,2025-08-07T11:54:39.1824975Z,2025-08-07T11:54:39.1824975Z,0.0000
1635,2025-08-07T11:54:39.1838836Z,2025-08-07T11:54:39.1838836Z,0.0000
1636,2025-08-07T11:54:39.1844043Z,2025-08-07T11:54:39.1844043Z,0.0000
1637,2025-08-07T11:54:39.1844043Z,2025-08-07T11:54:39.1844043Z,0.0000
1638,2025-08-07T11:54:39.1855056Z,2025-08-07T11:54:39.1855056Z,0.0000
1639,2025-08-07T11:54:39.1855056Z,2025-08-07T11:54:39.1855056Z,0.0000
1640,2025-08-07T11:54:39.1865385Z,2025-08-07T11:54:39.1865385Z,0.0000
1641,2025-08-07T11:54:39.1865385Z,2025-08-07T11:54:39.1865385Z,0.0000
1642,2025-08-07T11:54:39.1877079Z,2025-08-07T11:54:39.1877079Z,0.0000
1643,2025-08-07T11:54:39.1882127Z,2025-08-07T11:54:39.1882127Z,0.0000
1644,2025-08-07T11:54:39.1882127Z,2025-08-07T11:54:39.1882127Z,0.0000
1645,2025-08-07T11:54:39.1882127Z,2025-08-07T11:54:39.1897144Z,1.5017
1646,2025-08-07T11:54:39.1897144Z,2025-08-07T11:54:39.1897144Z,0.0000
1647,2025-08-07T11:54:39.1897144Z,2025-08-07T11:54:39.1897144Z,0.0000
